surgery,age,temp_of_extremities,peripheral_pulse,mucous_membrane,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,rectal_exam_feces,abdomen,abdomo_appearance,surgical_lesion,abdomo_protein,lesion_1,packed_cell_volume,total_protein,nasogastric_reflux_ph,rectal_temp,pulse,respiratory_rate,outcome
yes,adult,cool,normal,bright_red,less_3_sec,depressed,absent,slight,slight,less_1_liter,absent,distend_small,cloudy,yes,3,0,42,6.6,3,38.1,44,40,died
yes,adult,cool,normal,None,less_3_sec,depressed,normal,none,slight,less_1_liter,normal,normal,cloudy,yes,2.6,31110,39,7.5,6.2,37.7,40,36,lived
yes,adult,None,None,bright_red,None,None,absent,None,none,more_1_liter,absent,distend_small,cloudy,no,2,2208,51,57,2,38.3,112,16,euthanized
yes,adult,cool,normal,pale_cyanotic,less_3_sec,mild_pain,hypomotile,moderate,slight,none,absent,distend_small,serosanguious,yes,4.3,2208,41,6.1,4,37.2,44,20,died
yes,adult,cool,normal,normal_pink,less_3_sec,severe_pain,normal,None,significant,more_1_liter,None,None,cloudy,no,1,0,37,75,2,38,36,16,euthanized
yes,adult,cool,reduced,pale_pink,less_3_sec,depressed,absent,moderate,none,none,None,None,serosanguious,yes,2,2206,57,66,2,38.5,129,48,lived
yes,adult,cool,normal,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,absent,distend_small,serosanguious,yes,2.3,2208,41,6.8,5.3,37.8,40,48,lived
yes,adult,cool,normal,pale_cyanotic,less_3_sec,mild_pain,hypomotile,moderate,slight,none,absent,distend_small,serosanguious,yes,3.9,2208,54,6.6,4,37.3,42,12,died
no,adult,cool,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,absent,distend_small,serosanguious,yes,3.4,2209,44,6.2,7,38,84,28,euthanized
no,adult,cool,reduced,pale_cyanotic,more_3_sec,mild_pain,hypomotile,moderate,significant,less_1_liter,normal,distend_small,serosanguious,no,2.6,3133,48,8,5,38.1,112,84,died
no,adult,cool,None,normal_pink,less_3_sec,alert,hypomotile,none,slight,more_1_liter,normal,normal,clear,no,5,0,49,7.2,5,39.3,54,20,lived
yes,adult,cold,reduced,bright_pink,less_3_sec,depressed,hypomotile,moderate,none,none,absent,distend_small,serosanguious,yes,5,2112,52,6.6,5.5,38.5,72,18,died
yes,adult,normal,normal,bright_red,less_3_sec,severe_pain,hypomotile,slight,none,more_1_liter,normal,distend_small,clear,yes,2.7,2205,54,7,6.5,39.4,56,68,died
yes,adult,cool,reduced,pale_pink,less_3_sec,severe_pain,hypomotile,moderate,slight,more_1_liter,absent,distend_small,serosanguious,yes,2,2205,55,75,2,39.3,92,35,died
yes,adult,cool,reduced,bright_pink,less_3_sec,mild_pain,hypomotile,none,slight,none,normal,distend_large,cloudy,yes,3.6,2124,44,6,3,38.2,66,12,lived
yes,adult,cold,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,moderate,slight,more_1_liter,absent,distend_small,clear,yes,2.2,4205,55,8.1,5.3,38.2,96,48,died
yes,adult,cool,normal,normal_pink,less_3_sec,severe_pain,absent,moderate,slight,more_1_liter,None,distend_small,cloudy,yes,1,3025,44,7.4,5.7,37.7,60,28,died
no,adult,cold,reduced,normal_pink,less_3_sec,depressed,absent,slight,significant,less_1_liter,absent,normal,clear,no,6.6,8300,47,8.6,7.2,38.2,92,40,lived
yes,adult,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,decreased,distend_small,clear,yes,5.4,2206,36,6,5.3,38.9,40,24,lived
no,adult,cool,absent,pale_cyanotic,less_3_sec,mild_pain,absent,slight,slight,more_1_liter,decreased,firm,cloudy,yes,4.1,2207,52,7.5,5,37.2,60,12,euthanized
yes,adult,cool,normal,bright_pink,more_3_sec,mild_pain,hypomotile,moderate,slight,none,normal,distend_large,cloudy,yes,4.4,2209,44,6.5,7,38.3,44,21,lived
no,adult,cool,reduced,bright_red,less_3_sec,depressed,hypomotile,none,significant,less_1_liter,None,distend_large,None,yes,1,3205,50,7.2,1,39.3,66,18,died
yes,adult,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,none,more_1_liter,None,None,cloudy,yes,2.6,8400,48,6.8,5.5,39.5,66,24,lived
yes,adult,cool,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,None,distend_small,clear,yes,1.6,3205,43,51,2,38.4,84,51,euthanized
yes,adult,normal,None,pale_pink,less_3_sec,None,absent,severe,slight,more_1_liter,None,distend_large,serosanguious,yes,2,2209,52,75,2,37.2,60,12,euthanized
yes,adult,cool,reduced,pale_cyanotic,less_3_sec,mild_pain,hypomotile,moderate,slight,none,decreased,distend_small,serosanguious,yes,4.4,2206,73,8.5,7,38.5,72,40,lived
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,significant,none,absent,distend_large,cloudy,yes,3.9,4300,54,7.3,4.5,37.8,112,20,died
no,young,normal,normal,bright_pink,less_3_sec,depressed,hypomotile,moderate,slight,none,normal,normal,clear,yes,3,7111,44,7.6,7,37.2,84,24,died
no,adult,warm,increased,normal_pink,less_3_sec,alert,normal,slight,significant,None,normal,None,cloudy,no,5.3,0,33,6.5,7,38.8,52,20,lived
yes,adult,cool,reduced,bright_red,less_3_sec,mild_pain,hypomotile,slight,slight,none,decreased,distend_small,cloudy,yes,3.6,2209,37.5,6.5,3.5,38.3,54,50,lived
yes,adult,warm,reduced,bright_red,less_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,absent,distend_small,cloudy,yes,2.9,2205,54,7.5,4.5,39.3,66,48,lived
yes,adult,cool,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,absent,distend_small,serosanguious,yes,3.5,2209,45,6.5,3.5,37.5,54,40,died
no,adult,cool,normal,pale_pink,less_3_sec,mild_pain,hypomotile,slight,slight,none,decreased,firm,cloudy,no,2,3133,42,6.6,7,38.2,60,28,lived
yes,adult,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,decreased,None,clear,yes,1,2209,45,7.7,5.3,38.4,54,12,lived
yes,adult,cold,reduced,dark_cyanotic,more_3_sec,extreme_pain,absent,moderate,slight,more_1_liter,absent,distend_large,cloudy,no,1,3025,57,7.4,7,38.9,88,24,died
yes,adult,cool,reduced,bright_pink,less_3_sec,mild_pain,hypomotile,none,slight,none,increased,distend_large,cloudy,yes,3.6,2124,44,6,3,38.1,66,12,lived
no,adult,cool,normal,normal_pink,less_3_sec,mild_pain,normal,slight,slight,more_1_liter,absent,distend_small,cloudy,yes,4.1,2206,33,6.6,7,38.2,42,14,lived
yes,adult,cool,reduced,pale_pink,less_3_sec,depressed,hypomotile,slight,slight,less_1_liter,absent,distend_small,serosanguious,yes,4.5,2209,38,6,6.5,37.6,68,9,lived
no,adult,normal,normal,normal_pink,less_3_sec,mild_pain,hypermotile,moderate,significant,more_1_liter,None,None,clear,no,6,3111,36,6.6,4,36.8,52,16,lived
yes,adult,cool,normal,bright_red,less_3_sec,depressed,hypomotile,severe,significant,none,absent,distend_large,serosanguious,yes,4.7,3205,53,7.2,4.5,39.5,104,24,died
yes,adult,cool,reduced,pale_cyanotic,less_3_sec,severe_pain,absent,severe,significant,more_1_liter,absent,distend_large,serosanguious,yes,2,2208,72,64,2,38.2,48,16,euthanized
yes,adult,cool,normal,pale_cyanotic,more_3_sec,severe_pain,hypomotile,moderate,slight,none,absent,distend_large,serosanguious,yes,3.2,3205,45,7.5,7,37.2,84,24,died
no,adult,cool,reduced,bright_red,more_3_sec,depressed,hypomotile,slight,slight,more_1_liter,absent,distend_small,serosanguious,no,4.5,1111,73,8.1,7,39.4,114,36,lived
yes,adult,cold,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,none,none,decreased,None,serosanguious,yes,2,2209,68,64,2,37.8,96,30,lived
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,slight,slight,more_1_liter,absent,distend_small,serosanguious,yes,4.5,2205,52,6.5,6.5,38.3,96,48,died
yes,adult,cool,reduced,bright_red,less_3_sec,None,None,severe,none,more_1_liter,normal,None,cloudy,yes,2,7209,57,4,2,38,88,48,euthanized
yes,adult,cool,reduced,normal_pink,less_3_sec,mild_pain,hypomotile,none,slight,less_1_liter,normal,None,clear,yes,3,5206,40,6,3,37.8,60,80,lived
no,young,cool,normal,bright_red,less_3_sec,mild_pain,hypomotile,None,none,more_1_liter,None,None,cloudy,yes,2.8,11300,47,7.2,5.5,38.7,52,20,died
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,hypomotile,moderate,slight,none,absent,distend_small,serosanguious,yes,4.5,2205,52,7.5,5,37.3,60,20,died
yes,adult,cool,normal,bright_red,less_3_sec,depressed,hypomotile,slight,slight,less_1_liter,absent,distend_small,serosanguious,yes,4.5,400,41,6.6,4.5,38.6,40,32,died
yes,adult,cool,reduced,bright_red,less_3_sec,mild_pain,hypomotile,none,slight,none,decreased,distend_large,cloudy,yes,3.6,2124,44,6,3,38,66,12,lived
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,none,less_1_liter,absent,distend_large,serosanguious,yes,2,3205,66,13,2,38,88,51,euthanized
yes,adult,cool,reduced,pale_pink,more_3_sec,depressed,hypomotile,moderate,slight,less_1_liter,decreased,normal,serosanguious,yes,7.4,7111,54,6.5,7,38.5,80,44,died
no,adult,cool,None,pale_pink,less_3_sec,None,None,slight,none,more_1_liter,None,None,clear,no,2.3,0,41,65,1,38.4,48,20,lived
yes,adult,normal,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,none,more_1_liter,absent,distend_small,serosanguious,yes,2,8400,47,7.5,2,38,66,24,lived
no,adult,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,none,normal,firm,clear,no,5,0,36,6.6,5,38.6,52,20,lived
no,adult,normal,normal,normal_pink,less_3_sec,alert,normal,slight,slight,more_1_liter,normal,firm,cloudy,no,6,0,49,7.5,5,38.6,48,28,lived
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,depressed,hypomotile,moderate,slight,less_1_liter,absent,distend_small,serosanguious,yes,4.1,2209,75,7,4,39.3,164,30,died
no,adult,cold,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,None,more_1_liter,None,distend_large,serosanguious,yes,3.9,4205,66,7,5,38.3,96,28,died
yes,adult,cool,reduced,bright_red,less_3_sec,mild_pain,hypomotile,none,none,none,normal,distend_large,cloudy,yes,3.6,2208,44,6,3,38.1,66,12,lived
no,adult,normal,normal,pale_pink,less_3_sec,mild_pain,hypermotile,none,none,less_1_liter,normal,normal,cloudy,no,4.4,0,47,7,7.5,38.4,48,16,lived
yes,adult,cold,reduced,pale_cyanotic,more_3_sec,severe_pain,absent,moderate,slight,more_1_liter,decreased,distend_large,serosanguious,yes,2.6,2206,52,7.5,6.5,36,96,30,died
no,adult,cool,normal,normal_pink,less_3_sec,mild_pain,hypermotile,slight,none,less_1_liter,None,None,clear,no,1.6,2112,39,6.5,6.5,38.2,60,8,lived
yes,adult,cool,None,pale_pink,less_3_sec,extreme_pain,absent,slight,slight,none,decreased,distend_small,serosanguious,yes,2,2209,45,7,4.5,38.1,136,48,lived
yes,adult,normal,reduced,bright_red,less_3_sec,mild_pain,hypermotile,moderate,significant,less_1_liter,decreased,distend_large,clear,yes,2,2112,44,5.9,2,37.5,40,36,lived
yes,adult,cold,reduced,pale_cyanotic,more_3_sec,mild_pain,hypomotile,moderate,slight,none,decreased,distend_small,serosanguious,yes,4.1,2208,50,7,4,40.3,114,36,lived
yes,adult,cool,reduced,dark_cyanotic,more_3_sec,depressed,absent,moderate,none,none,absent,distend_small,serosanguious,yes,2,2208,66,13,2,39.3,100,51,lived
yes,adult,cool,reduced,bright_red,more_3_sec,depressed,hypomotile,moderate,None,more_1_liter,absent,distend_large,serosanguious,yes,1,2205,57,56,2,37.9,80,12,euthanized
yes,adult,cool,reduced,pale_cyanotic,less_3_sec,severe_pain,absent,severe,slight,none,absent,distend_large,cloudy,yes,2,1400,75,81,2,37.8,72,42,euthanized
yes,adult,cool,reduced,normal_pink,more_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,absent,distend_large,cloudy,yes,2.6,3205,41,7.4,5.5,38.3,96,36,lived
yes,adult,None,None,pale_pink,less_3_sec,depressed,absent,slight,none,less_1_liter,absent,distend_small,clear,no,2,4124,46,81,2,38.3,88,20,lived
no,adult,cool,normal,bright_pink,less_3_sec,severe_pain,hypomotile,moderate,slight,more_1_liter,normal,distend_large,cloudy,yes,4.4,2124,44,7.2,5.4,38.1,54,36,lived
yes,adult,normal,normal,pale_pink,less_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,absent,distend_small,serosanguious,yes,2.1,2209,49,7.8,5.3,37.3,48,18,lived
yes,adult,normal,normal,bright_pink,less_3_sec,alert,absent,none,none,none,normal,normal,clear,yes,5,3111,50,7,7,38.3,52,40,lived
yes,adult,cool,normal,normal_pink,less_3_sec,extreme_pain,hypomotile,moderate,slight,more_1_liter,None,distend_large,serosanguious,yes,1,3205,36,7.7,2,37.8,96,48,died
no,adult,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,slight,more_1_liter,absent,distend_small,serosanguious,no,4.3,2209,48,6,5.4,37.6,48,18,lived
no,adult,cool,reduced,bright_pink,more_3_sec,depressed,hypomotile,moderate,slight,none,None,distend_small,serosanguious,yes,4.8,2205,54,8,7,37.4,114,36,euthanized
yes,adult,normal,normal,pale_pink,more_3_sec,mild_pain,hypomotile,moderate,slight,none,normal,distend_large,clear,yes,3.6,2209,33,6,3,38.2,66,14,lived
yes,adult,cool,reduced,dark_cyanotic,more_3_sec,depressed,absent,moderate,slight,more_1_liter,absent,distend_small,serosanguious,yes,2,2205,65,86,2,39.3,112,40,lived
yes,adult,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,slight,slight,less_1_liter,absent,distend_small,clear,yes,3.6,2205,50,7.7,6.5,38.5,64,32,died
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,moderate,none,more_1_liter,decreased,distend_small,serosanguious,yes,2,2206,57,69,4,38.5,114,30,lived
no,adult,normal,normal,normal_pink,less_3_sec,alert,hypermotile,none,slight,less_1_liter,normal,firm,cloudy,no,2,0,49,6.6,4,37.8,48,16,lived
yes,adult,cool,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,none,less_1_liter,absent,None,serosanguious,yes,2,2206,39,62,2,37.8,88,36,lived
yes,adult,cool,reduced,dark_cyanotic,more_3_sec,extreme_pain,absent,moderate,slight,less_1_liter,absent,distend_small,serosanguious,yes,2.6,2205,65,7.5,7,37.2,60,40,died
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,moderate,slight,none,absent,distend_large,serosanguious,yes,2,4205,65,7,4.3,38.3,88,20,euthanized
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,severe_pain,absent,moderate,slight,more_1_liter,absent,distend_large,cloudy,yes,3.6,3205,60,5.9,5.4,36,92,30,euthanized
no,adult,cool,normal,bright_red,less_3_sec,mild_pain,hypomotile,moderate,significant,none,None,other,serosanguious,yes,2,0,53,64,2,37.9,44,12,lived
yes,adult,warm,None,normal_pink,less_3_sec,None,None,moderate,slight,less_1_liter,absent,distend_large,cloudy,yes,2,2208,43,8.7,2,37.5,66,12,euthanized
no,adult,warm,normal,normal_pink,less_3_sec,alert,hypomotile,none,slight,none,normal,firm,clear,no,7,0,48,5.9,7,38.2,40,12,lived
yes,adult,cool,reduced,pale_pink,less_3_sec,mild_pain,absent,moderate,slight,less_1_liter,absent,distend_small,cloudy,yes,3.6,31110,33,6.5,3,38.5,64,24,lived
yes,adult,cold,reduced,dark_cyanotic,more_3_sec,severe_pain,absent,severe,slight,less_1_liter,absent,distend_large,clear,yes,5.3,12208,75,6.5,6.5,39.3,108,18,died
no,adult,normal,normal,pale_pink,less_3_sec,None,hypermotile,none,none,more_1_liter,normal,None,cloudy,no,7,0,23,6.2,6,38.7,42,12,lived
yes,adult,cold,reduced,pale_cyanotic,less_3_sec,mild_pain,absent,severe,slight,less_1_liter,absent,distend_small,cloudy,yes,2.1,2112,43,8,7.2,37.9,54,14,died
yes,adult,normal,reduced,normal_pink,less_3_sec,depressed,hypomotile,slight,none,more_1_liter,normal,distend_small,serosanguious,yes,4.5,2209,52,7.6,7,39.1,88,24,died
yes,adult,normal,reduced,normal_pink,less_3_sec,mild_pain,absent,none,None,more_1_liter,decreased,distend_large,clear,yes,2,6112,36,66,2,37.2,42,12,lived
yes,adult,cool,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,absent,distend_small,clear,yes,5.3,2207,44,8,5.5,38.2,88,20,lived
no,adult,None,normal,None,less_3_sec,mild_pain,None,None,slight,more_1_liter,None,distend_small,cloudy,yes,2.8,3111,30,6.7,5.5,39.5,52,16,euthanized
yes,adult,cool,reduced,bright_red,more_3_sec,severe_pain,absent,none,none,more_1_liter,normal,None,cloudy,yes,2,2322,75,81,2,37.5,60,48,lived
yes,adult,normal,normal,None,less_3_sec,mild_pain,hypomotile,slight,slight,none,normal,normal,cloudy,yes,2.8,3111,40,7.2,7,38.6,40,14,lived
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,depressed,hypomotile,moderate,significant,none,serosanguious,distend_small,serosanguious,yes,2,2124,57,69,7,35.4,52,24,lived
yes,adult,cool,reduced,bright_red,less_3_sec,None,hypomotile,moderate,slight,more_1_liter,None,distend_small,cloudy,yes,4.3,2205,75,10.2,6.5,37.8,104,35,died
yes,adult,warm,normal,pale_pink,more_3_sec,mild_pain,hypomotile,slight,slight,none,absent,distend_large,cloudy,yes,6.6,2208,44,6.5,7,39,64,36,died
yes,young,cool,reduced,pale_cyanotic,less_3_sec,extreme_pain,absent,moderate,significant,less_1_liter,decreased,None,serosanguious,yes,2.9,3205,54,6.1,4.5,38,90,48,died
yes,adult,cold,reduced,pale_pink,more_3_sec,depressed,hypomotile,moderate,significant,more_1_liter,absent,distend_small,serosanguious,yes,2,2209,53,75,2,38.2,88,30,euthanized
no,adult,warm,normal,bright_red,more_3_sec,severe_pain,hypomotile,none,slight,more_1_liter,absent,distend_large,clear,no,2.6,2124,54,8.6,4.5,37.8,66,28,lived
yes,adult,cool,reduced,dark_cyanotic,less_3_sec,depressed,absent,none,slight,more_1_liter,decreased,distend_small,cloudy,yes,2.6,2112,60,8.1,6.5,38.1,92,36,died
yes,adult,cool,reduced,dark_cyanotic,more_3_sec,depressed,hypomotile,slight,None,more_1_liter,decreased,distend_small,serosanguious,yes,6,2207,69,8.9,6,37.2,108,12,died
yes,adult,cool,reduced,bright_red,more_3_sec,depressed,hypomotile,none,none,more_1_liter,None,distend_large,serosanguious,yes,2,4205,57,80,1,37.3,78,28,euthanized
yes,adult,cool,absent,pale_cyanotic,more_3_sec,severe_pain,hypomotile,moderate,slight,more_1_liter,absent,distend_large,serosanguious,yes,4.6,2205,60,6.5,2,37.4,76,51,died
no,adult,cool,normal,normal_pink,less_3_sec,alert,hypermotile,none,none,none,normal,None,cloudy,no,1,400,48,7.6,1,38.3,48,20,lived
yes,adult,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,absent,distend_small,clear,yes,5,2209,41,6.6,7,38.3,60,14,lived
yes,adult,normal,normal,bright_pink,less_3_sec,alert,hypomotile,slight,slight,less_1_liter,normal,other,cloudy,no,7.6,400,49,8,6.5,37.5,49,9,lived
yes,young,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,severe,none,none,absent,distend_large,serosanguious,yes,4.8,2205,57,6,6.5,40.3,114,36,died
yes,adult,normal,normal,pale_cyanotic,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,absent,distend_large,serosanguious,no,3.9,5400,44,6.1,7,38.4,88,40,died
yes,adult,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,decreased,normal,clear,yes,2.6,3111,39,6.6,4.5,38.9,48,32,lived
yes,adult,cool,normal,bright_pink,less_3_sec,depressed,absent,moderate,slight,more_1_liter,normal,distend_small,serosanguious,no,2,2205,57,82,2,37.3,129,24,euthanized
yes,adult,cold,reduced,pale_pink,more_3_sec,extreme_pain,hypomotile,moderate,slight,more_1_liter,decreased,distend_large,serosanguious,no,4.5,4205,55,6.5,5.4,37.2,108,48,died
yes,adult,cool,reduced,pale_pink,less_3_sec,extreme_pain,absent,moderate,significant,none,absent,distend_small,serosanguious,yes,2.9,2208,48,8.6,4.4,37.8,88,48,died
yes,adult,cool,reduced,bright_red,less_3_sec,mild_pain,hypomotile,none,slight,none,increased,distend_large,cloudy,yes,3.6,2124,44,6,3,37.5,66,12,lived
no,young,cool,reduced,bright_red,more_3_sec,depressed,hypomotile,severe,slight,none,absent,distend_large,cloudy,yes,2.3,7400,57,8.1,7,40.3,114,36,euthanized
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,depressed,hypomotile,slight,slight,none,normal,distend_small,serosanguious,yes,3.2,2208,57,6.6,7,39.2,114,36,euthanized
yes,adult,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,none,more_1_liter,decreased,distend_small,clear,yes,2,2205,41,61,2,38.3,52,12,lived
no,adult,cool,reduced,pale_cyanotic,None,mild_pain,hypomotile,slight,None,None,absent,None,serosanguious,yes,5.3,5400,48,6.6,5,39,86,20,died
yes,adult,cool,reduced,pale_pink,less_3_sec,severe_pain,hypomotile,moderate,slight,none,normal,distend_large,cloudy,yes,4.5,3209,48,7.6,4.5,37.3,64,48,died
no,young,warm,increased,normal_pink,less_3_sec,depressed,hypomotile,none,significant,none,decreased,None,clear,no,1,4300,41,77,7,38.4,56,68,lived
yes,adult,cool,normal,bright_red,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,decreased,distend_large,cloudy,yes,2,300,41,6.6,2,38.2,64,40,died
no,adult,cool,reduced,bright_red,more_3_sec,depressed,hypomotile,severe,none,less_1_liter,absent,distend_large,cloudy,yes,2.9,1400,66,7.5,4,39.6,72,48,died
no,adult,normal,normal,normal_pink,less_3_sec,alert,normal,none,slight,none,normal,normal,clear,no,5,3111,42,7.2,5.3,38,52,12,lived
